Gossip Implementaion_2,,,,,
num Nodes,imp2d(ms),2d(ms),line(ms),full(ms),Algo
100,61,76,56,103,Gossip
200,354,310,207,350,Gossip
300,1862,727,700,818,Gossip
400,2541,945,901,1375,Gossip
500,6507,1903,1092,1927,Gossip
600,7070,2542,1539,2975,Gossip
700,16955,3178,2062,3983,Gossip
800,17319,5005,2775,5752,Gossip
900,28337,5520,3495,6449,Gossip
1000,31587,9034,4112,8285,Gossip
1500,43555,19886,10062,21681,Gossip
